"bsv"	"context"	"full_expression"	"no_match"	"match_with_fcu"	"context"	"location"	"features"
"BSV_10_proteagineux_Normandie_2012_cle8bc461"	"ité est atteint sur"	"pois et féveroles"	"pois et féveroles"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, féveroles ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	"entre les stades le"	"9514-9531"	"type=N_KON_N, match=fcu, form=pois et féveroles"
"BSV_10_proteagineux_Normandie_2012_cle8bc461"	"t. Anthracn ose sur"	"pois et féverole"	"pois et féverole"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, féverole ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	"La nuisibilité de l"	"11849-11865"	"type=N_KON_N, match=fcu, form=pois et féverole"
"BSV_11-3_cereales_Normandie_R2014_cle83cb2e"	"pluies ont lessivé"	"les pustules et le blé"	"les pustules et le "	"blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles"	"a émis de nouvelles"	"553-575"	"type=N_KON_N, match=fcu, form=les pustules et le blé"
"BSV_11_proteagineux_Normandie_2012_cle888cde-1"	"ne (puceron noir de"	"la fève, puceron"	"la , puceron"	"fève ( fève ) =http://ontology.inrae.fr/frenchcropusage/Feves"	"vert du pois, torde"	"695-711"	"type=N_PUN_N, match=fcu, form=la fève, puceron"
"BSV_11_proteagineux_Normandie_2012_cle888cde-1"	"ve, puceron vert du"	"pois, tordeuse du pois"	"pois, tordeuse du pois"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois"	"). Des précipitation"	"720-742"	"type=N_PUN_N, match=fcu, form=pois, tordeuse du pois"
"BSV_11_proteagineux_Normandie_2012_cle888cde-1"	"entation azotée des"	"pois et féveroles"	"pois et féveroles"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, féveroles ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	". Les pertes de rend"	"6280-6297"	"type=N_KON_N, match=fcu, form=pois et féveroles"
"BSV_11_proteagineux_Normandie_2012_cle888cde-1"	"plante. Sitones sur"	"pois et féveroles"	"pois et féveroles"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, féveroles ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	"Le seuil de nuisibi"	"7099-7116"	"type=N_KON_N, match=fcu, form=pois et féveroles"
"BSV_11_proteagineux_Normandie_2012_cle888cde-1"	"ité est atteint sur"	"pois et féveroles"	"pois et féveroles"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, féveroles ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	"entre les stades le"	"7157-7174"	"type=N_KON_N, match=fcu, form=pois et féveroles"
"BSV_11_proteagineux_Normandie_2012_cle888cde-1"	"eux Anthracnose sur"	"pois et féverole"	"pois et féverole"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, féverole ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	"La nuisibilité de l"	"8655-8671"	"type=N_KON_N, match=fcu, form=pois et féverole"
"BSV_11_proteagineux_Normandie_cle8c8ae4"	"l'Eure semée le 11"	"mars, les féveroles de printemps"	"mars, les féveroles de printemps"	"féveroles de printemps ( féverole de printemps ) =http://ontology.inrae.fr/frenchcropusage/Feveroles_printemps, féveroles ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	"du réseau sont à dé"	"550-582"	"type=N_PUN_N, match=fcu, form=mars, les féveroles de printemps"
"BSV_11_proteagineux_Normandie_cle8c8ae4"	"ase sensible). Côté"	"maladies, les parcelles de pois"	"maladies, les parcelles de "	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois"	"et de féveroles de"	"2804-2835"	"type=N_PUN_N, match=fcu, form=maladies, les parcelles de pois"
"BSV_11_proteagineux_Normandie_cle8c8ae4"	"eux Anthracnose sur"	"pois et féverole"	"pois et féverole"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, féverole ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	"La nuisibilité de l"	"5457-5473"	"type=N_KON_N, match=fcu, form=pois et féverole"
"BSV_11_proteagineux_Normandie_cle8c8ae4"	"ntes hôtes incluant"	"la féverole, la pomme de terre, la betterave, la luzerne et la race"	"la féverole, la pomme de terre, la betterave, la luzerne et la race"	"féverole ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles, pomme de terre ( pomme de terre ) =http://ontology.inrae.fr/frenchcropusage/Pommes_de_terre, pomme ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, betterave ( betterave ) =http://ontology.inrae.fr/frenchcropusage/Betteraves, luzerne ( luzerne ) =http://ontology.inrae.fr/frenchcropusage/Luzernes"	"géante, suspectée d"	"8143-8210"	"type=N_PUN_N_KON_N, match=fcu, form=la féverole, la pomme de terre, la betterave, la luzerne et la race"
"BSV_11_proteagineux_Normandie_cle8c8ae4"	"venir : virement et"	"éclatement des gousses, nécrose des pétioles et feuilles"	"éclatement des , nécrose des pétioles et feuilles"	"gousses ( légume à graines ou à gousses ) =http://ontology.inrae.fr/frenchcropusage/Legumes_graines_gousses"	". En général les dég"	"9495-9551"	"type=N_PUN_N_KON_N, match=fcu, form=éclatement des gousses, nécrose des pétioles et feuilles"
"BSV_12_proteagineux_Normandie_R2011_cle02d111"	"ur féveroles : Avec"	"la fin de la floraison, les féveroles"	"la fin de la floraison, les "	"féveroles ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	"sortent de la pério"	"3508-3545"	"type=N_PUN_N, match=fcu, form=la fin de la floraison, les féveroles"
"BSV_12_proteagineux_Normandie_R2011_cle02d111"	"°C. Anthracnose sur"	"pois et féverole"	"pois et féverole"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, féverole ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	"La nuisibilité de l"	"7750-7766"	"type=N_KON_N, match=fcu, form=pois et féverole"
"BSV_1_chataigne_7juin2013_cle03a2d9"	"la plantation (hors"	"semences et fruits"	"semences et fruits"	"semences ( semence ) =http://ontology.inrae.fr/frenchcropusage/Semences, fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	") est interdit, à l'"	"10226-10244"	"type=N_KON_N, match=fcu, form=semences et fruits"
"BSV_1_chataigne_7juin2013_cle03a2d9"	"'ils pénètrent dans"	"une blessure du châtaignier, le processus de germination"	"une blessure du , le processus de germination"	"châtaignier ( châtaignier ) =http://ontology.inrae.fr/frenchcropusage/Chataigniers"	"se met en marche. L"	"15119-15175"	"type=N_PUN_N, match=fcu, form=une blessure du châtaignier, le processus de germination"
"BSV_26BOU_GC_2010_03_16_12"	"tement touchées par"	"la mouche du chou, le pivot"	"la mouche du chou, le pivot"	"chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	"n'est pas très fonc"	"3744-3771"	"type=N_PUN_N, match=fcu, form=la mouche du chou, le pivot"
"BSV_26BOU_GC_2014_03_04_16"	"nce du charançon de"	"la tige du colza, le charançon de la tige"	"la tige du , le charançon de la tige"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"du chou ne pond pas"	"4122-4163"	"type=N_PUN_N, match=fcu, form=la tige du colza, le charançon de la tige"
"BSV_26BOU_GC_2014_05_20_27"	"l'épiaison jusqu'à"	"la fin de la floraison, les blés"	"la fin de la floraison, les "	"blés ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles"	"sont sensibles aux"	"9831-9863"	"type=N_PUN_N, match=fcu, form=la fin de la floraison, les blés"
"BSV_2_chataigne_28juin2012_cle4ef6f6"	"sont en place dans"	"les vergers et les cultures"	"les  et les cultures"	"vergers ( arboriculture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere"	"légumières. Les tra"	"2415-2442"	"type=N_KON_N, match=fcu, form=les vergers et les cultures"
"BSV_2_chataigne_28juin2012_cle4ef6f6"	"la plantation (hors"	"semences et fruits"	"semences et fruits"	"semences ( semence ) =http://ontology.inrae.fr/frenchcropusage/Semences, fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	") est interdit, à l'"	"9402-9420"	"type=N_KON_N, match=fcu, form=semences et fruits"
"BSV_2_proteagineux_Normandie_2012_cle8c9949"	"ans une parcelle en"	"féverole et une parcelle"	" et une parcelle"	"féverole ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	"en pois, le seuil d"	"816-840"	"type=N_KON_N, match=fcu, form=féverole et une parcelle"
"BSV_2_proteagineux_Normandie_2012_cle8c9949"	"et une parcelle en"	"pois, le seuil"	", le seuil"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois"	"de 10 morsures/plan"	"844-858"	"type=N_PUN_N, match=fcu, form=pois, le seuil"
"BSV_2_proteagineux_Normandie_2012_cle8c9949"	"eine-Martitime. Sur"	"pois, le seuil de nuisibilité"	", le seuil de nuisibilité"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois"	"a été dépassé dans"	"1004-1033"	"type=N_PUN_N, match=fcu, form=pois, le seuil de nuisibilité"
"BSV_2_proteagineux_Normandie_2012_cle8c9949"	"entation azotée des"	"pois et féveroles"	"pois et féveroles"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, féveroles ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	". Les pertes de rend"	"4887-4904"	"type=N_KON_N, match=fcu, form=pois et féveroles"
"BSV_2_proteagineux_Normandie_2012_cle8c9949"	"plante. Sitones sur"	"pois et féveroles"	"pois et féveroles"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, féveroles ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	"Le seuil de nuisibi"	"5684-5701"	"type=N_KON_N, match=fcu, form=pois et féveroles"
"BSV_2_proteagineux_Normandie_2012_cle8c9949"	"ité est atteint sur"	"pois et féveroles"	"pois et féveroles"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, féveroles ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	"entre les stades le"	"5742-5759"	"type=N_KON_N, match=fcu, form=pois et féveroles"
"BSV_3_chataigne_30juillet2013_cle85215d"	"rme sombre de Cydia"	"splendana, le carpocapse de la châtaigne"	"splendana, le carpocapse de la "	"châtaigne ( châtaignier ) =http://ontology.inrae.fr/frenchcropusage/Chataigniers"	"Contrairement à d'a"	"3487-3527"	"type=N_PUN_N, match=fcu, form=splendana, le carpocapse de la châtaigne"
"BSV_3_chataigne_30juillet2013_cle85215d"	"e, la larve perfore"	"l'enveloppe de la châtaigne et s'enfonce"	"l'enveloppe de la  et s'enfonce"	"châtaigne ( châtaignier ) =http://ontology.inrae.fr/frenchcropusage/Chataigniers"	"dans le sol. Elle t"	"4763-4803"	"type=N_KON_N, match=fcu, form=l'enveloppe de la châtaigne et s'enfonce"
"BSV_3_chataigne_30juillet2013_cle85215d"	"ières attaques dans"	"les bogues et les fruits"	"les bogues et les "	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"sont observables en"	"7537-7561"	"type=N_KON_N, match=fcu, form=les bogues et les fruits"
"BSV_3_chataigne_30juillet2013_cle85215d"	"la plantation (hors"	"semences et fruits"	"semences et fruits"	"semences ( semence ) =http://ontology.inrae.fr/frenchcropusage/Semences, fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	") est interdit, à l'"	"10260-10278"	"type=N_KON_N, match=fcu, form=semences et fruits"
"BSV_3_cle0c8d2b-2"	"VEGETAL RHONE-ALPES"	"Horticulture et pépinière"	"Horticulture et pépinière"	"Horticulture ( culture légumière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_legumieres, pépinière ( arboriculture ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture, pépinière ( horticulture ornementale ) =http://ontology.inrae.fr/frenchcropusage/Horticulture_ornementale"	"n°3 12 octobre 2011"	"43-68"	"type=N_KON_N, match=fcu, form=Horticulture et pépinière"
"BSV_43FCO_GC_2009_07_28_20"	"Aux alentours du 20"	"avril, les colzas"	"avril, les "	"colzas ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"arrivaient au stade"	"2345-2362"	"type=N_PUN_N, match=fcu, form=avril, les colzas"
"BSV_43FCO_GC_2009_07_28_20"	"ement les cultures ("	"blé, colza, orge, maïs, tournesol, soja"	"blé, colza, orge, maïs, tournesol, soja"	"blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas, orge ( orge ) =http://ontology.inrae.fr/frenchcropusage/Orges, maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais, tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols, soja ( soja ) =http://ontology.inrae.fr/frenchcropusage/Sojas"	"...) ;il est égalem"	"11735-11774"	"type=N_PUN_N, match=fcu, form=blé, colza, orge, maïs, tournesol, soja"
"BSV_43FCO_GC_2009_07_28_20"	"s grandes cultures ("	"colza, blé, orge"	"colza, blé, orge"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas, blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, orge ( orge ) =http://ontology.inrae.fr/frenchcropusage/Orges"	"d'hiver, orge de pr"	"13051-13067"	"type=N_PUN_N, match=fcu, form=colza, blé, orge"
"BSV_43FCO_GC_2009_07_28_20"	"s (colza, blé, orge"	"d'hiver, orge de printemps, maïs, tournesol, triticale, soja"	"d'hiver, orge de printemps, maïs, tournesol, triticale, soja"	"orge de printemps ( orge de printemps ) =http://ontology.inrae.fr/frenchcropusage/Orges_printemps, orge ( orge ) =http://ontology.inrae.fr/frenchcropusage/Orges, maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais, tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols, triticale ( triticale ) =http://ontology.inrae.fr/frenchcropusage/Triticales, soja ( soja ) =http://ontology.inrae.fr/frenchcropusage/Sojas"	") sera constitué de"	"13068-13128"	"type=N_PUN_N, match=fcu, form=d'hiver, orge de printemps, maïs, tournesol, triticale, soja"
"BSV_43FCO_GC_2009_10_19_27"	"cerne les très gros"	"colzas, le risque"	", le risque"	"colzas ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"encouru est faible."	"1722-1739"	"type=N_PUN_N, match=fcu, form=colzas, le risque"
"BSV_43FCO_GC_2009_10_19_27"	"avant le 9 octobre ("	"blé, orge, triticale"	"blé, orge, triticale"	"blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, orge ( orge ) =http://ontology.inrae.fr/frenchcropusage/Orges, triticale ( triticale ) =http://ontology.inrae.fr/frenchcropusage/Triticales"	"). Insectes Cicadell"	"3567-3587"	"type=N_PUN_N, match=fcu, form=blé, orge, triticale"
"BSV_43FCO_GC_2009_10_19_27"	"observées ce lundi ("	"blé, orge, triticale"	"blé, orge, triticale"	"blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, orge ( orge ) =http://ontology.inrae.fr/frenchcropusage/Orges, triticale ( triticale ) =http://ontology.inrae.fr/frenchcropusage/Triticales"	"), l'activité est fa"	"3879-3899"	"type=N_PUN_N, match=fcu, form=blé, orge, triticale"
"BSV_43FCO_GC_2009_10_19_27"	"vées cette semaine ("	"blé, orge, triticale"	"blé, orge, triticale"	"blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, orge ( orge ) =http://ontology.inrae.fr/frenchcropusage/Orges, triticale ( triticale ) =http://ontology.inrae.fr/frenchcropusage/Triticales"	"), les pucerons sont"	"4446-4466"	"type=N_PUN_N, match=fcu, form=blé, orge, triticale"
"BSV_43FCO_GC_2009_10_19_27"	"tobre 2009 5 BILAN"	"TOURNESOL et SOJA"	"TOURNESOL et SOJA"	"TOURNESOL ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols, SOJA ( soja ) =http://ontology.inrae.fr/frenchcropusage/Sojas"	"(Vanesse) 2009 Semi"	"10689-10706"	"type=N_KON_N, match=fcu, form=TOURNESOL et SOJA"
"BSV_43FCO_GC_2009_10_19_27"	"e-Comté à partir de"	"la mi-mai, les parcelles de Soja"	"la mi-mai, les parcelles de "	"Soja ( soja ) =http://ontology.inrae.fr/frenchcropusage/Sojas"	"ont nécessité une s"	"11850-11882"	"type=N_PUN_N, match=fcu, form=la mi-mai, les parcelles de Soja"
"BSV_43FCO_GC_2009_10_19_27"	"illes par pied. Sur"	"Tournesol, les chenilles"	", les chenilles"	"Tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols"	"ont dans une moindr"	"12046-12070"	"type=N_PUN_N, match=fcu, form=Tournesol, les chenilles"
"BSV_43FCO_GC_2010_05_10_12"	"fusarioses sur épi"	"Betteraves, pomme de terre, soja"	"Betteraves, pomme de terre, soja"	"Betteraves ( betterave ) =http://ontology.inrae.fr/frenchcropusage/Betteraves, pomme de terre ( pomme de terre ) =http://ontology.inrae.fr/frenchcropusage/Pommes_de_terre, pomme ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, soja ( soja ) =http://ontology.inrae.fr/frenchcropusage/Sojas"	", autres Céréales à"	"7062-7094"	"type=N_PUN_N, match=fcu, form=Betteraves, pomme de terre, soja"
"BSV_43FCO_GC_2010_05_10_12"	", autres Céréales à"	"paille, colza, lin, pois, féverole, tournesol"	"paille, colza, lin, pois, féverole, tournesol"	"paille ( céréale à paille ) =http://ontology.inrae.fr/frenchcropusage/Cereales_paille, colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas, lin ( lin ) =http://ontology.inrae.fr/frenchcropusage/Lins, pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, féverole ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles, tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols"	"Maïs, sorgho grain("	"7114-7159"	"type=N_PUN_N, match=fcu, form=paille, colza, lin, pois, féverole, tournesol"
"BSV_43FCO_GC_2010_05_10_12"	"féverole, tournesol"	"Maïs, sorgho"	"Maïs, sorgho"	"Maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais, sorgho ( sorgho ) =http://ontology.inrae.fr/frenchcropusage/Sorghos, sorgho ( sorgho grain ) =http://ontology.inrae.fr/frenchcropusage/Sorghos_grains"	"grain(maïs fourrage"	"7160-7172"	"type=N_PUN_N, match=fcu, form=Maïs, sorgho"
"BSV_4_cereales_Normandie_cle87b83e"	"maine à la fois sur"	"blé et orge"	"blé et orge"	"blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, orge ( orge ) =http://ontology.inrae.fr/frenchcropusage/Orges"	". Quelques vols de f"	"2279-2290"	"type=N_KON_N, match=fcu, form=blé et orge"
"BSV_5_chataigne_28aout2013"	"e, la larve perfore"	"l'enveloppe de la châtaigne et s'enfonce"	"l'enveloppe de la  et s'enfonce"	"châtaigne ( châtaignier ) =http://ontology.inrae.fr/frenchcropusage/Chataigniers"	"dans le sol. Elle t"	"4580-4620"	"type=N_KON_N, match=fcu, form=l'enveloppe de la châtaigne et s'enfonce"
"BSV_8_cereales_Normandie_R2012_cle0a7838"	"s observations pour"	"les blés et les orges"	"les  et les orges"	"blés ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles"	"qui n'ont pas attei"	"1144-1165"	"type=N_KON_N, match=fcu, form=les blés et les orges"
"BSV_8_cereales_Normandie_R2012_cle0a7838"	"té des pucerons sur"	"blé et orge"	"blé et orge"	"blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, orge ( orge ) =http://ontology.inrae.fr/frenchcropusage/Orges"	"est faible dans les"	"1305-1316"	"type=N_KON_N, match=fcu, form=blé et orge"
"BSV_8_cereales_Normandie_R2012_cle0a7838"	"es ni insecticides)"	"Blé et orge"	"Blé et orge"	"Blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, orge ( orge ) =http://ontology.inrae.fr/frenchcropusage/Orges"	"BLE Limaces : Sur l"	"2945-2956"	"type=N_KON_N, match=fcu, form=Blé et orge"
"BSV_9_cereales_Normandie_cle81b469"	"rs observés sur"	"blé et orge"	"blé et orge"	"blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, orge ( orge ) =http://ontology.inrae.fr/frenchcropusage/Orges"	". MALADIES"	"826-837"	"type=N_KON_N, match=fcu, form=blé et orge"
"BSV_AUVERGNE_N_10_DU_2_04_13_cle81ad49"	"ès le 15 octobre en"	"plaine, les blés"	"plaine, les "	"blés ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles"	"sont toujours en co"	"5419-5435"	"type=N_PUN_N, match=fcu, form=plaine, les blés"
"BSV_Arbo_Centre_16_11-04-26_cle06b771"	"yal-Gala, Reine des"	"Reinettes et Golden"	"Reinettes et "	"Golden ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers"	": stades I à J;Canad"	"5761-5780"	"type=N_KON_N, match=fcu, form=Reinettes et Golden"
"BSV_Arbo_Centre_16_11-04-26_cle06b771"	"chenilles rouges du"	"poirier et cochenilles"	" et cochenilles"	"poirier ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	"blanches du mûrier"	"10506-10528"	"type=N_KON_N, match=fcu, form=poirier et cochenilles"
"BSV_Arbo_Centre_16_11-04-26_cle06b771"	"omyies des feuilles"	"pommiers et poiriers"	"pommiers et poiriers"	"pommiers ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, poiriers ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	"Etat général Des sy"	"11106-11126"	"type=N_KON_N, match=fcu, form=pommiers et poiriers"
"BSV_Arbo_Centre_16_11-04-26_cle06b771"	"de nuisibilité Sur"	"pommier, le seuil de nuisibilité"	", le seuil de nuisibilité"	"pommier ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers"	"est atteint dès que"	"16328-16360"	"type=N_PUN_N, match=fcu, form=pommier, le seuil de nuisibilité"
"BSV_Arbo_Centre_16_11-04-26_cle06b771"	"de nuisibilité Sur"	"pommier, le seuil de nuisibilité"	", le seuil de nuisibilité"	"pommier ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers"	"est fixé à 15% des"	"17537-17569"	"type=N_PUN_N, match=fcu, form=pommier, le seuil de nuisibilité"
"BSV_Arbo_Centre_6_11-03-14_cle414993"	"oskoop, stade C sur"	"Gala, Golden"	"Gala, Golden"	"Gala ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, Golden ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers"	", Reine des Reinette"	"5558-5570"	"type=N_PUN_N, match=fcu, form=Gala, Golden"
"BSV_Arbo_Centre_6_11-03-14_cle414993"	"et de rugosité sur"	"les fruits, o"	"les , o"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"les phytoptes cécid"	"7668-7681"	"type=N_PUN_N, match=fcu, form=les fruits, o"
"BSV_Arbo_Centre_6_11-03-14_cle414993"	"de nuisibilité Sur"	"pommier, le seuil de nuisibilité"	", le seuil de nuisibilité"	"pommier ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers"	"est atteint dès que"	"9652-9684"	"type=N_PUN_N, match=fcu, form=pommier, le seuil de nuisibilité"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no10_du_21-05-2013_cle43573f"	"sont en place dans"	"les vergers et les cultures"	"les  et les cultures"	"vergers ( arboriculture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere"	"légumières. Les tra"	"2569-2596"	"type=N_KON_N, match=fcu, form=les vergers et les cultures"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no10_du_21-05-2013_cle43573f"	"de l'ouverture des"	"fleurs de pommiers, les dégâts"	"fleurs de pommiers, les dégâts"	"fleurs ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales, pommiers ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers"	"dus aux anthonomes"	"5819-5849"	"type=N_PUN_N, match=fcu, form=fleurs de pommiers, les dégâts"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no11_du_09-05-2012_cle4117c7"	"sont en place dans"	"les vergers et les cultures"	"les  et les cultures"	"vergers ( arboriculture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere"	"légumières. Les tra"	"3951-3978"	"type=N_KON_N, match=fcu, form=les vergers et les cultures"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no11_du_09-05-2012_cle4117c7"	"ade floraison. Dans"	"la plupart des vergers, les dégâts"	"la plupart des , les dégâts"	"vergers ( arboriculture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere"	"sont assez rares.Ra"	"6304-6338"	"type=N_PUN_N, match=fcu, form=la plupart des vergers, les dégâts"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no11_du_09-05-2012_cle4117c7"	"tion, dans certains"	"vergers, les populations"	", les populations"	"vergers ( arboriculture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere"	"d'acariens peuvent"	"6881-6905"	"type=N_PUN_N, match=fcu, form=vergers, les populations"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no11_du_09-05-2012_cle4117c7"	"endré Dans certains"	"vergers, les populations"	", les populations"	"vergers ( arboriculture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere"	"sont en augmentatio"	"8078-8102"	"type=N_PUN_N, match=fcu, form=vergers, les populations"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no12_du_15-05-2012_cle415e3e"	"sont en place dans"	"les vergers et les cultures"	"les  et les cultures"	"vergers ( arboriculture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere"	"légumières. Les tra"	"4113-4140"	"type=N_KON_N, match=fcu, form=les vergers et les cultures"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no12_du_15-05-2012_cle415e3e"	"s-début avril. Dans"	"la plupart des vergers, les dégâts"	"la plupart des , les dégâts"	"vergers ( arboriculture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere"	"sont assez rares.Ra"	"6991-7025"	"type=N_PUN_N, match=fcu, form=la plupart des vergers, les dégâts"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no12_du_15-05-2012_cle415e3e"	"endré Dans certains"	"vergers, les populations"	", les populations"	"vergers ( arboriculture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere"	"sont en augmentatio"	"8672-8696"	"type=N_PUN_N, match=fcu, form=vergers, les populations"
