"bsv"	"html tags"	"segment (type)"	"segment (form)"	"fcu concepts"	"bioagressors"	"deseases"	"stages"	"context before"	"context after"	"location"	"features"
"BSV7ZNA"	"SMALL
P"	"FINANCEMENT"	"Ce bulletin est disponible sur le site internet de la CRAL www.cra-lorraine.fr et le site de la DRAAF Lorraine www.draaf.lorraine.agriculture.gouv.fr Action pilotée par le ministère en charge de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018"	""	""	""	""	"Herbes indésirables"	"Bulletin rédigé par"	"7978-8377"	"type=FINANCEMENT, form=Ce bulletin est disponible sur le site internet de la CRAL www.cra-lorraine.fr et le site de la DRAAF Lorraine www.draaf.lorraine.agriculture.gouv.fr Action pilotée par le ministère en charge de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018"
"BSV7horti-pepi_cle8cbea5-2"	"SMALL
P"	"FINANCEMENT"	"Ce bulletin est disponible sur le site internet de la CRAL www.cra-lorraine.fr et le site de la DRAAF Lorraine www.draaf.lorraine.agriculture.gouv.fr Action pilotée par le ministère en charge de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018"	""	""	""	""	"ressuie rapidement."	"Bulletin rédigé par"	"2312-2711"	"type=FINANCEMENT, form=Ce bulletin est disponible sur le site internet de la CRAL www.cra-lorraine.fr et le site de la DRAAF Lorraine www.draaf.lorraine.agriculture.gouv.fr Action pilotée par le ministère en charge de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018"
"BSV971_Horticulture_ANTHURIUM_25112014-N03_cle03f3b2"	"SMALL
P
BR"	"FINANCEMENT"	"Ce bulletin est produit à partir d'observations ponctuelles. S'il donne une tendance de la situation sanitaire régionale, celle-ci ne peut être transposée telle quelle à la parcelle. Nous nous dégageons de toute responsabilité quant aux décisions prises par l'exploitant et les invitons à prendre toutes les décisions sur la base d'observations qu'ils auront eux-mêmes réalisés sur leurs parcelles et/ou en s'appuyant sur les préconisations issues de bulletin d'information technique ou de conseils obtenus auprès des techniciens. Action pilotée par le Ministère chargé de l'agriculture, avec l'appui financier de l'Office National de l'Eau et des Milieux Aquatiques(ONEMA), par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018."	""	""	""	""	"e d'agriculture 971"	"BSV Guadeloupe, Hor"	"6796-7581"	"type=FINANCEMENT, form=Ce bulletin est produit à partir d'observations ponctuelles. S'il donne une tendance de la situation sanitaire régionale, celle-ci ne peut être transposée telle quelle à la parcelle. Nous nous dégageons de toute responsabilité quant aux décisions prises par l'exploitant et les invitons à prendre toutes les décisions sur la base d'observations qu'ils auront eux-mêmes réalisés sur leurs parcelles et/ou en s'appuyant sur les préconisations issues de bulletin d'information technique ou de conseils obtenus auprès des techniciens. Action pilotée par le Ministère chargé de l'agriculture, avec l'appui financier de l'Office National de l'Eau et des Milieux Aquatiques(ONEMA), par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018."
"BSVHorti_230910_cle01f644"	"H2
P"	"RISQUE"	"Observations diverses
Quelques pucerons ont été observés sur cultures de roses dans les Alpes Maritimes ainsi qu'une faible présence de mildiou sur culture d'Helianthus dans le Var. Par ailleurs Echinothrips americanus est toujours bien présent sur culture d'Anthurium. Des dégâts de mineuse Lyriomyza sp sur renoncule ont été observés dans le Var ainsi qu'une forte population de Pieris brassicae sur chou d'ornement (dégâts importants). Des déprédations dues à des punaises sur giroflées ont également été rapportées. Le tarsonème Polyphagotarsonemus latus se remarque sur gerbera notamment sur des cultures de deuxième année. La noctuelle Chrysodeixis chalicites s'observe dans les cultures, les captures dans de pièges à phéromones sont effectives. Nos observateurs nous indiquent enfin des symptômes de Pythium sur renoncule."	"rosier ornemental,
chou,
gerbera"	"pucerons,
mildiou"	"Echinothrips"	""	"le en cette saison."	"Productions hortico"	"2322-3152"	"type=RISQUE, form=Observations diverses
Quelques pucerons ont été observés sur cultures de roses dans les Alpes Maritimes ainsi qu'une faible présence de mildiou sur culture d'Helianthus dans le Var. Par ailleurs Echinothrips americanus est toujours bien présent sur culture d'Anthurium. Des dégâts de mineuse Lyriomyza sp sur renoncule ont été observés dans le Var ainsi qu'une forte population de Pieris brassicae sur chou d'ornement (dégâts importants). Des déprédations dues à des punaises sur giroflées ont également été rapportées. Le tarsonème Polyphagotarsonemus latus se remarque sur gerbera notamment sur des cultures de deuxième année. La noctuelle Chrysodeixis chalicites s'observe dans les cultures, les captures dans de pièges à phéromones sont effectives. Nos observateurs nous indiquent enfin des symptômes de Pythium sur renoncule."
"BSVHorti_230910_cle01f644"	"H2
P"	"RISQUE"	"Observations diverses
On observe des populations de thrips assez importantes en extérieur sur divers végétaux (Anigozanthos )."	""	""	"thrips"	""	"e ponte est faible."	"REPRODUCTION DE CE"	"4829-4955"	"type=RISQUE, form=Observations diverses
On observe des populations de thrips assez importantes en extérieur sur divers végétaux (Anigozanthos )."
"BSVPACA3_200710_cle031cb3"	"H1
P
H1
P
H1
P
H1"	"STADES"	"Stades phénologiques
Toutes les zones de production sont au stade de grossissement du fruit. Les variétés précoces et la zone littorale ont une taille des fruits dépassant les 2 cm. Plus en altitude, sur des variétés à gros calibre, la taille des olives atteint 1,5 cm. Les petits calibres type Cailletier sont à 1 cm, sauf au-dessus de 500 m où la floraison s'est terminée au début du mois de juillet.
Teigne de l'olivier
Les captures diminuent nettement à basse altitude. Au-dessus de 300 m d'altitude, les piégeages se maintiennent élevés (entre 30 et 50 papillons / jour). Ces valeurs sont cependant très faibles par rapport aux années antérieures et révèlent la présence d'une petite population du ravageur à toutes les altitudes.
Mouche de l'olive
Les captures dans les pièges ont augmenté autour du 18-20 juillet à toutes les altitudes. Les premières mouches de la saison ont été capturées au-delà de 450m. Exception notable dans la frange littorale du Var où les captures ont baissé, traduisant à priori une fin de première génération. Très peu de piqûres de mouche ont été observées dans tous les secteurs.
Œil de paon"	"olivier fruit à noyaux"	""	""	""	"ités des parasites."	"Les dégâts se stabi"	"521-1648"	"type=STADES, form=Stades phénologiques
Toutes les zones de production sont au stade de grossissement du fruit. Les variétés précoces et la zone littorale ont une taille des fruits dépassant les 2 cm. Plus en altitude, sur des variétés à gros calibre, la taille des olives atteint 1,5 cm. Les petits calibres type Cailletier sont à 1 cm, sauf au-dessus de 500 m où la floraison s'est terminée au début du mois de juillet.
Teigne de l'olivier
Les captures diminuent nettement à basse altitude. Au-dessus de 300 m d'altitude, les piégeages se maintiennent élevés (entre 30 et 50 papillons / jour). Ces valeurs sont cependant très faibles par rapport aux années antérieures et révèlent la présence d'une petite population du ravageur à toutes les altitudes.
Mouche de l'olive
Les captures dans les pièges ont augmenté autour du 18-20 juillet à toutes les altitudes. Les premières mouches de la saison ont été capturées au-delà de 450m. Exception notable dans la frange littorale du Var où les captures ont baissé, traduisant à priori une fin de première génération. Très peu de piqûres de mouche ont été observées dans tous les secteurs.
Œil de paon"
"BSVPDT20130415_num05_cle0ec9c7"	"P"	"FINANCEMENT"	"Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les"	""	""	""	""	"Chabert de l'ACTA."	"crédits issus de la"	"643-787"	"type=FINANCEMENT, form=Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les"
"BSVPDT20130723_num31_30_juillet_2013_cle457261"	"P"	"FINANCEMENT"	"Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les"	""	""	""	""	"ERNARIOSES BOTRYTIS"	"crédits issus de la"	"1187-1331"	"type=FINANCEMENT, form=Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les"
"BSVViti_no25_26092013_cle45dbdd"	"SMALL
P
SMALL
P"	"FINANCEMENT"	"N.B. Ce Bulletin est produit à partir d'observations ponctuelles réalisées sur un réseau de parcelles. S'il donne une tendance de la situation sanitaire, celle-ci ne peut pas être transposée telle quelle à chacune des parcelles. La Chambre régionale d'Agriculture et l'ensemble des partenaires du BSV dégagent toute responsabilité quant aux décisions prises pour la protection des cultures. La protection des cultures se décide sur la base des observations que chacun réalise sur ses parcelles et s'appuie, le cas échéant, sur les préconisations issues de bulletins techniques.
Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto."	""	""	""	""	"idier Richy (CA13)."	"REPRODUCTION DE CE"	"3710-4530"	"type=FINANCEMENT, form=N.B. Ce Bulletin est produit à partir d'observations ponctuelles réalisées sur un réseau de parcelles. S'il donne une tendance de la situation sanitaire, celle-ci ne peut pas être transposée telle quelle à chacune des parcelles. La Chambre régionale d'Agriculture et l'ensemble des partenaires du BSV dégagent toute responsabilité quant aux décisions prises pour la protection des cultures. La protection des cultures se décide sur la base des observations que chacun réalise sur ses parcelles et s'appuie, le cas échéant, sur les préconisations issues de bulletins techniques.
Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto."
"BSVViti_no5_30042013_cle0539dc"	"FIGCAPTION
FIGURE
SMALL
P"	"FINANCEMENT"	"N.B. Ce Bulletin est produit à partir d'observations ponctuelles réalisées sur un réseau de parcelles. S'il donne une tendance de la situation sanitaire, celle-ci ne peut pas être transposée telle quelle à chacune des parcelles. La Chambre régionale d'Agriculture et l'ensemble des partenaires du BSV dégagent toute responsabilité quant aux décisions prises pour la protection des cultures. La protection des cultures se décide sur la base des observations que chacun réalise sur ses parcelles et s'appuie, le cas échéant, sur les préconisations issues de bulletins techniques.
Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto."	""	""	""	""	"idier Richy (CA13)."	"REPRODUCTION DE CE"	"3595-4415"	"type=FINANCEMENT, form=N.B. Ce Bulletin est produit à partir d'observations ponctuelles réalisées sur un réseau de parcelles. S'il donne une tendance de la situation sanitaire, celle-ci ne peut pas être transposée telle quelle à chacune des parcelles. La Chambre régionale d'Agriculture et l'ensemble des partenaires du BSV dégagent toute responsabilité quant aux décisions prises pour la protection des cultures. La protection des cultures se décide sur la base des observations que chacun réalise sur ses parcelles et s'appuie, le cas échéant, sur les préconisations issues de bulletins techniques.
Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto."
"BSV_09_cle4c32d5"	"H2
H1
H1"	"EDITION"	"N°09 du 29 mai 2012
2 1 observations
4 parcelles flottantes"	""	""	""	""	"n, plantes à fibres"	"Stade moyen"	"66-125"	"type=EDITION, form=N°09 du 29 mai 2012
2 1 observations
4 parcelles flottantes"
"BSV_10_proteagineux_Normandie_2012_cle8bc461"	"SMALL
P"	"FINANCEMENT"	""" Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018"""	""	""	""	""	"aines qui arrivent."	"Vous souhaitez être"	"2697-2946"	"type=FINANCEMENT, form="" Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018"""
"BSV_10_proteagineux_Normandie_2012_cle8bc461"	"H2
P
P
BR
BR
P
P
P
P
P"	"RISQUE"	"Synthèse des observations du début de semaine
OBSERVATIONS Bilan de la semaine
Observations réalisées en début de semaine sur : 6 parcelles de féveroles de printemps 8 parcelles de pois de printemps
STADES Mesures
Les parcelles de féveroles sont entre le stade 8 feuilles étalées et début floraison.
Les parcelles de pois sont entre le stade 10 feuilles et le stade début floraison.
RAVAGEURS Mesures
Sitones sur féveroles : une seule parcelle a été observée en Haute-Normandie, elle présente plus de 10 morsures."	"féverole de printemps,
pois protéagineux de printemps,
féverole,
pois,
féverole"	""	"Sitones"	""	"u Végétal Normandie"	"Protéagineux Mesure"	"3562-4075"	"type=RISQUE, form=Synthèse des observations du début de semaine
OBSERVATIONS Bilan de la semaine
Observations réalisées en début de semaine sur : 6 parcelles de féveroles de printemps 8 parcelles de pois de printemps
STADES Mesures
Les parcelles de féveroles sont entre le stade 8 feuilles étalées et début floraison.
Les parcelles de pois sont entre le stade 10 feuilles et le stade début floraison.
RAVAGEURS Mesures
Sitones sur féveroles : une seule parcelle a été observée en Haute-Normandie, elle présente plus de 10 morsures."
"BSV_11-3_cereales_Normandie_R2014_cle83cb2e"	"H1
P"	"RISQUE"	"Cartographie des observations
Répartition des parcelles observées : en violet les parcelles de blé tendre d'hiver et en bleu les parcelles d'orge d'hiver."	"blé tendre d'hiver"	""	""	""	"° 11-3. 5 mars 2014"	"Stades des parcelle"	"1729-1883"	"type=RISQUE, form=Cartographie des observations
Répartition des parcelles observées : en violet les parcelles de blé tendre d'hiver et en bleu les parcelles d'orge d'hiver."
"BSV_11_proteagineux_Normandie_2012_cle888cde-1"	"SMALL
P"	"FINANCEMENT"	""" Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018"""	""	""	""	""	"ut de la floraison."	"Vous souhaitez être"	"1660-1909"	"type=FINANCEMENT, form="" Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018"""
"BSV_11_proteagineux_Normandie_2012_cle888cde-1"	"H3
BR
BR"	"RISQUE"	"OBSERVATIONS Bilan de la semaine
Observations réalisées en début de semaine sur : 3 parcelles de féveroles de printemps"	"féverole de printemps"	""	""	""	"du début de semaine"	"9 parcelles de pois"	"2571-2690"	"type=RISQUE, form=OBSERVATIONS Bilan de la semaine
Observations réalisées en début de semaine sur : 3 parcelles de féveroles de printemps"
"BSV_12_proteagineux_Normandie_R2011_cle02d111"	"H3
P
P
P
P
P"	"RISQUE"	"Synthèse des observations du début de semaine
OBSERVATIONS Bilan de la semaine
Observations réalisées en début de semaine sur : 1 parcelle de féverole de printemps 4 parcelles de pois de printemps
STADES Mesures
Les parcelles de féveroles de la région sont globalement en fin floraison cette semaine.
3 parcelles de pois sont au Stade Limite d'Avortement. La 4 , plus précoce est en Fin de ce stade (FSLA)."	"féverole de printemps,
pois protéagineux de printemps,
féverole,
pois"	""	""	""	"mandie Protéagineux"	"e Protéagineux FSLA"	"2745-3151"	"type=RISQUE, form=Synthèse des observations du début de semaine
OBSERVATIONS Bilan de la semaine
Observations réalisées en début de semaine sur : 1 parcelle de féverole de printemps 4 parcelles de pois de printemps
STADES Mesures
Les parcelles de féveroles de la région sont globalement en fin floraison cette semaine.
3 parcelles de pois sont au Stade Limite d'Avortement. La 4 , plus précoce est en Fin de ce stade (FSLA)."
"BSV_12_proteagineux_Normandie_R2011_cle02d111"	"SMALL
P"	"FINANCEMENT"	"Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018"	""	""	""	""	"rotéagineux ARVALIS"	"Page 5 /5 Ce bullet"	"8741-8987"	"type=FINANCEMENT, form=Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018"
"BSV_13_cereales_Normandie_R2012-2_cle88c41b"	"H3
BR
BR"	"RISQUE"	"OBSERVATIONS Bilan de la semaine
Observations réalisées en début de semaine sur : 33 parcelles de blé tendre"	"blé tendre"	""	""	""	"du début de semaine"	"13 parcelles d'orge"	"3223-3331"	"type=RISQUE, form=OBSERVATIONS Bilan de la semaine
Observations réalisées en début de semaine sur : 33 parcelles de blé tendre"
"BSV_13_cereales_Normandie_cle01ccd2"	"H2
P
BR
BR"	"RISQUE"	"Synthèse des observations du début de semaine 17
OBSERVATIONS Bilan de la semaine
Observations réalisées en début de semaine sur : 59 parcelles de blé tendre d'hiver"	"blé tendre d'hiver"	""	""	""	"éales 28 avril 2010"	"23 parcelles d'orge"	"120-285"	"type=RISQUE, form=Synthèse des observations du début de semaine 17
OBSERVATIONS Bilan de la semaine
Observations réalisées en début de semaine sur : 59 parcelles de blé tendre d'hiver"
"BSV_1_chataigne_7juin2013_cle03a2d9"	"H3
P
P
BR
BR
P"	"RISQUE"	"Observations du réseau
Depuis le printemps 2011, des foyers ont été signalés en Aquitaine, Midi-Pyrénées et Limousin.
Les observations de ce printemps 2013 font état de deux phénomènes : Une expansion de la zone de présence du cynips du châtaignier, notamment du foyer sud-corrézien en direction du nord-ouest et du bassin bergeracois en direction du nord. Ces territoires présentent de nombreux taillis de châtaigniers forestiers, que le cynips pourrait suivre pour coloniser de nouvelles parcelles. Un caractère explosif de la colonisation des parcelles attaquées par le ravageur.
En effet, certaines parcelles (principalement de variété Marigoule) présentant un gradient d'attaque en 2012 (quelques rangs) sont totalement parasités en ce printemps 2013. Il est aussi observé, sur plusieurs parcelles du réseau, une apparente préférence du ravageur pour les châtaigniers hybrides cultivés en comparaison des C.Sativa présent dans les taillis."	"châtaignier,
châtaignier,
châtaignier"	""	""	""	"ent du châtaignier."	"Un prédateur nature"	"6197-7141"	"type=RISQUE, form=Observations du réseau
Depuis le printemps 2011, des foyers ont été signalés en Aquitaine, Midi-Pyrénées et Limousin.
Les observations de ce printemps 2013 font état de deux phénomènes : Une expansion de la zone de présence du cynips du châtaignier, notamment du foyer sud-corrézien en direction du nord-ouest et du bassin bergeracois en direction du nord. Ces territoires présentent de nombreux taillis de châtaigniers forestiers, que le cynips pourrait suivre pour coloniser de nouvelles parcelles. Un caractère explosif de la colonisation des parcelles attaquées par le ravageur.
En effet, certaines parcelles (principalement de variété Marigoule) présentant un gradient d'attaque en 2012 (quelques rangs) sont totalement parasités en ce printemps 2013. Il est aussi observé, sur plusieurs parcelles du réseau, une apparente préférence du ravageur pour les châtaigniers hybrides cultivés en comparaison des C.Sativa présent dans les taillis."
"BSV_1_chataigne_7juin2013_cle03a2d9"	"H3
P
P"	"RISQUE"	"Observations du réseau
Il est fait état par le réseau d'observateurs d'une présence régulière de ce ravageur dans les vergers du sud-ouest.
Bien que normale pour un parasite d' "" équilibre "", cette présence peut être en partie expliquée par les évènements climatiques de ces dernières années : sécheresse de 2011, gel important du début 2012 (qui peut créer des lésions dans le bois) et conditions très humides en ce début 2013 (risque d'asphyxie racinaire sur certaines zones, la variété Marigoule étant particulièrement sensible à ce phénomène)."	"arboriculture fruitière,
sylviculture"	"parasite"	""	""	"piège. Photo : INRA"	"Mesures prophylacti"	"13113-13660"	"type=RISQUE, form=Observations du réseau
Il est fait état par le réseau d'observateurs d'une présence régulière de ce ravageur dans les vergers du sud-ouest.
Bien que normale pour un parasite d' "" équilibre "", cette présence peut être en partie expliquée par les évènements climatiques de ces dernières années : sécheresse de 2011, gel important du début 2012 (qui peut créer des lésions dans le bois) et conditions très humides en ce début 2013 (risque d'asphyxie racinaire sur certaines zones, la variété Marigoule étant particulièrement sensible à ce phénomène)."
"BSV_1_chataigne_7juin2013_cle03a2d9"	"H3
P"	"RISQUE"	"Observations du réseau
Le chancre est présent sur l'ensemble des régions d'Aquitaine, Limousin, Midi-Pyrénées et Poitou-Charentes. Dans ces quatre régions, il a été remarqué, depuis plusieurs années, une présence plus marquée des chancres hypovirulents (voir "" Mesures prophylactiques "")."	""	""	""	""	"e et se boursoufle."	"Evaluation du risqu"	"15932-16220"	"type=RISQUE, form=Observations du réseau
Le chancre est présent sur l'ensemble des régions d'Aquitaine, Limousin, Midi-Pyrénées et Poitou-Charentes. Dans ces quatre régions, il a été remarqué, depuis plusieurs années, une présence plus marquée des chancres hypovirulents (voir "" Mesures prophylactiques "")."
"BSV_1_chataigne_7juin2013_cle03a2d9"	"H3
P"	"RISQUE"	"Observations du réseau
Des adultes sont très régulièrement observés sur les vergers du réseau. Des cas de dégradation modérée du feuillage sont ainsi notés sur quelques parcelles."	"arboriculture fruitière"	""	""	""	"hoto : D.MERY/CDA24"	"Evaluation du risqu"	"19734-19913"	"type=RISQUE, form=Observations du réseau
Des adultes sont très régulièrement observés sur les vergers du réseau. Des cas de dégradation modérée du feuillage sont ainsi notés sur quelques parcelles."
"BSV_1_chataigne_7juin2013_cle03a2d9"	"H3
P"	"RISQUE"	"Observations du réseau
On observe sur quelques parcelles la présence de charançons et des broutures sur feuilles."	""	"charançons"	""	""	"ndus à même le sol."	"Bulletin de Santé d"	"20589-20702"	"type=RISQUE, form=Observations du réseau
On observe sur quelques parcelles la présence de charançons et des broutures sur feuilles."
"BSV_1_chataigne_7juin2013_cle03a2d9"	"H3
P"	"RISQUE"	"Observations du réseau
Dans le Lot, secteur de Montvalent (46), observation d'un jeune verger de Marigoule et Marsol fortement défolié suite à l'attaque de chenilles defoliatrices."	"arboriculture fruitière"	""	""	""	"sur jeunes arbres."	"A RETENIR PHENOLOGI"	"21191-21371"	"type=RISQUE, form=Observations du réseau
Dans le Lot, secteur de Montvalent (46), observation d'un jeune verger de Marigoule et Marsol fortement défolié suite à l'attaque de chenilles defoliatrices."
"BSV_1_chataigne_7juin2013_cle03a2d9"	"H2
SMALL
P"	"FINANCEMENT"	"PROCHAIN BULLETIN : FIN JUIN
Action pilotée par le Ministère de l'Agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto"	""	""	""	""	"néralement limités."	"N.B. : Ce Bulletin"	"21876-22139"	"type=FINANCEMENT, form=PROCHAIN BULLETIN : FIN JUIN
Action pilotée par le Ministère de l'Agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto"
"BSV_2011_n5_cle453b96"	"H2
P
P
BR
BR
FIGCAPTION
FIGURE
H2
H3
P
H3"	"STADES"	"Stades phénologiques
La pousse de la vigne s'annonce encore soutenue dans les prochains jours, vu les conditions estivales de ce début de semaine. Actuellement, la végétation se situe entre 8 et 12 feuilles étalées, selon les cépages. Les premières fleurs sont signalées depuis ce week -end, au niveau des pieds, dans des parcelles de chardonnay très précoces. Le stade 19 ""début floraison"" pourrait être constaté d'ici la fin de la semaine prochaine en secteurs hâtifs. Par rapport à la moyenne décennale, le développement végétatif compte, maintenant, presque 3 semaines d'avance. La vigne, tous cépages confondus, se trouve à des stades comparables à ceux enregistrés à la même période en 2007.
Chardonnay : stade 17 ""10 feuilles étalées"" à stade 18 ""11 à 12 feuilles étalées"".Pinot noir : stade 16 ""8 à 9 feuilles étalées"" à stade 17.Meunier : stade 16 en moyenne.
Stade 17, les bourgeons floraux s'écartent
Oïdium
Situation
Les premiers symptômes d'oïdium sur feuilles sont observés, depuis la semaine dernière, sur des parcelles de chardonnay sévèrement touchés sur grappes les années antérieures. Ces parcelles sont situées sur les communes de Chouilly, Avize, Oger, Mesnil-sur-Oger, Bergères-les-Vertus, Ambonnay, Montgueux et Neuville-sur-Seine (sources CIVC, GDV Marne, Union Auboise, Coopérative Champagne Coligny, Soufflet Vigne). Le stade 17 ""10 feuilles étalées"" est maintenant atteint ou le sera très prochainement pour les pinots et meuniers plus tardifs. La vigne entre donc dans sa période de grande sensibilité en toute situation (parcelles à antériorité d'attaque sur grappes ou sans historique).
Analyse du risque"	"vigne,
vigne,
vigne,
vigne"	"Oïdium"	"Oïdium,
d'oïdium"	""	"s. Pression faible."	"La détection de sym"	"490-2124"	"type=STADES, form=Stades phénologiques
La pousse de la vigne s'annonce encore soutenue dans les prochains jours, vu les conditions estivales de ce début de semaine. Actuellement, la végétation se situe entre 8 et 12 feuilles étalées, selon les cépages. Les premières fleurs sont signalées depuis ce week -end, au niveau des pieds, dans des parcelles de chardonnay très précoces. Le stade 19 ""début floraison"" pourrait être constaté d'ici la fin de la semaine prochaine en secteurs hâtifs. Par rapport à la moyenne décennale, le développement végétatif compte, maintenant, presque 3 semaines d'avance. La vigne, tous cépages confondus, se trouve à des stades comparables à ceux enregistrés à la même période en 2007.
Chardonnay : stade 17 ""10 feuilles étalées"" à stade 18 ""11 à 12 feuilles étalées"".Pinot noir : stade 16 ""8 à 9 feuilles étalées"" à stade 17.Meunier : stade 16 en moyenne.
Stade 17, les bourgeons floraux s'écartent
Oïdium
Situation
Les premiers symptômes d'oïdium sur feuilles sont observés, depuis la semaine dernière, sur des parcelles de chardonnay sévèrement touchés sur grappes les années antérieures. Ces parcelles sont situées sur les communes de Chouilly, Avize, Oger, Mesnil-sur-Oger, Bergères-les-Vertus, Ambonnay, Montgueux et Neuville-sur-Seine (sources CIVC, GDV Marne, Union Auboise, Coopérative Champagne Coligny, Soufflet Vigne). Le stade 17 ""10 feuilles étalées"" est maintenant atteint ou le sera très prochainement pour les pinots et meuniers plus tardifs. La vigne entre donc dans sa période de grande sensibilité en toute situation (parcelles à antériorité d'attaque sur grappes ou sans historique).
Analyse du risque"
"BSV_26BOU_GC_2010_02_23_09"	"H1
P
BR
BR
H1
P
P"	"A RETENIR"	"A retenir cette semaine
- Les colzas ont redémarré- Pensez à mettre en place les cuvettes- Captures de charançons possibles dans les zones abritées
Réseau 2009-2010
Prévisions météorologiques du 24 février au 01 mars :
Le réseau pour les observations de printemps est actuellement constitué de 65 parcelles. La fin des épisodes climatiques de froid et de neige permet de réactiver les observations pour la réalisation de ce bulletin. 7 parcelles ont fait l'objet d'un relevé d'observation cette semaine."	"colza"	"charançons"	"froid"	""	"du 23 février 2010"	"Stade des colzas Se"	"120-623"	"type=A RETENIR, form=A retenir cette semaine
- Les colzas ont redémarré- Pensez à mettre en place les cuvettes- Captures de charançons possibles dans les zones abritées
Réseau 2009-2010
Prévisions météorologiques du 24 février au 01 mars :
Le réseau pour les observations de printemps est actuellement constitué de 65 parcelles. La fin des épisodes climatiques de froid et de neige permet de réactiver les observations pour la réalisation de ce bulletin. 7 parcelles ont fait l'objet d'un relevé d'observation cette semaine."
