"bsv"	"html tags"	"segment (type)"	"segment (form)"	"fcu concepts"	"bioagressors"	"stages"	"locality"	"dates"	"context before"	"context after"	"location"	"features"
"BSV_Grandes_Cultures_Lin__Oleagineux_n2_NR_17102017_cle4cd66c"	"P"	"STADES"	"Il n'existe pas de seuil d intervention. Les risques sont à apprécier en fonction de l'état des lins (peuplement, vigueur, stade), du nombre d'insectes et de morsures et des prévisions météorologiques."	"lin"	""	""	""	""	"euil de nuisibilité"	"Analyse du risque L"	"3562-3763"	"type=STADES, form=Il n'existe pas de seuil d intervention. Les risques sont à apprécier en fonction de l'état des lins (peuplement, vigueur, stade), du nombre d'insectes et de morsures et des prévisions météorologiques."
"BSV_Grandes_Cultures_Lin__Oleagineux_n2_NR_17102017_cle4cd66c"	"H3
P"	"RISQUE"	"Analyse du risque
Le risque est faible cette semaine. Le suivi du risque doit se poursuivre dans la mesure où l'ensemble des parcelles est en période de risque vis-à-vis de ce ravageur."	""	""	""	""	""	"ns météorologiques."	"Bulletin rédigé par"	"3764-3949"	"type=RISQUE, form=Analyse du risque
Le risque est faible cette semaine. Le suivi du risque doit se poursuivre dans la mesure où l'ensemble des parcelles est en période de risque vis-à-vis de ce ravageur."
"BSV_Grandes_Cultures_Lin__Oleagineux_n2_NR_17102017_cle4cd66c"	"FOOTER
BR
BR
BR"	"META"	"Rédacteur : Nina Rabourdin, Terres Inovia Suppléant : Guy Ajauré, Terres Inovia En partenariat avec ARVALIS Institut du végétal"	""	""	""	""	""	"Loire, SRAL Centre."	"Ce bulletin est pro"	"4164-4291"	"type=META, form=Rédacteur : Nina Rabourdin, Terres Inovia Suppléant : Guy Ajauré, Terres Inovia En partenariat avec ARVALIS Institut du végétal"
"BSV_Grandes_Cultures_Lin__Oleagineux_n2_NR_17102017_cle4cd66c"	"H3
FIGCAPTION
FIGURE"	"STADES"	"Stade A1 (BBCH 08) : Fendillement du sol levée imminente
(Sources : ARVALIS Terres Inovia)"	""	""	"stade secondaire BBCH 08"	""	""	"TRE LES STADES CLES"	"Stade A2 (BBCH 09)"	"4876-4966"	"type=STADES, form=Stade A1 (BBCH 08) : Fendillement du sol levée imminente
(Sources : ARVALIS Terres Inovia)"
"BSV_Grandes_Cultures_Lin__Oleagineux_n2_NR_17102017_cle4cd66c"	"H3
FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
BR"	"STADES"	"Stade A2 (BBCH 09) : Levée cotylédons visibles
(Source : Terres Inovia)
(Source : CETIOM)(Source : Terres Inovia)"	""	""	"stade secondaire BBCH 09"	""	""	"ALIS Terres Inovia)"	"Stade B1 (B"	"4967-5080"	"type=STADES, form=Stade A2 (BBCH 09) : Levée cotylédons visibles
(Source : Terres Inovia)
(Source : CETIOM)(Source : Terres Inovia)"
"BSV_Grandes_Cultures_Lin__Oleagineux_n2_NR_17102017_cle4cd66c"	"H3"	"STADES"	"Stade B5 (BBCH 15) : 5 cm"	""	""	"stade secondaire BBCH 15"	""	""	"ce : Terres Inovia)"	"Stade B9 (BBCH 17)"	"5284-5309"	"type=STADES, form=Stade B5 (BBCH 15) : 5 cm"
"BSV_Grandes_Cultures_Lin__Oleagineux_n2_NR_17102017_cle4cd66c"	"H3
FIGCAPTION
FIGURE
FIGCAPTION
FIGURE"	"STADES"	"Stade B9 (BBCH 17) : 7 cm
(Source : Terres Inovia)
(Source : Terres Inovia)"	""	""	"stade secondaire BBCH 17"	""	""	"B5 (BBCH 15) : 5 cm"	"Rédacteur : Nina Ra"	"5310-5385"	"type=STADES, form=Stade B9 (BBCH 17) : 7 cm
(Source : Terres Inovia)
(Source : Terres Inovia)"
"BSV_Grandes_Cultures_Lin__Oleagineux_n2_NR_17102017_cle4cd66c"	"FOOTER
BR
BR
BR"	"META"	"Rédacteur : Nina Rabourdin, Terres Inovia Suppléant : Guy Ajauré, Terres Inovia En partenariat avec ARVALIS Institut du végétal"	""	""	""	""	""	"ce : Terres Inovia)"	"Ce bulletin est pro"	"5386-5513"	"type=META, form=Rédacteur : Nina Rabourdin, Terres Inovia Suppléant : Guy Ajauré, Terres Inovia En partenariat avec ARVALIS Institut du végétal"
"BSV_Horticulture_n_14_du_21_octobre_2011_cle036c85"	"H1"	"CULTURE"	"Cultures de CHRYSANTHEME : toujours saines"	"chrysanthème"	""	""	""	""	"du 21 octobre 2011"	"Après près de cinq"	"50-92"	"type=CULTURE, form=Cultures de CHRYSANTHEME : toujours saines"
"BSV_Horticulture_n_14_du_21_octobre_2011_cle036c85"	"H2"	"RISQUE"	"Cas des acariens : absents"	""	"acariens"	""	""	""	"très satisfaisante."	"Cas des thrips : ab"	"214-240"	"type=RISQUE, form=Cas des acariens : absents"
"BSV_Horticulture_n_14_du_21_octobre_2011_cle036c85"	"H2"	"RISQUE"	"Cas des thrips : absents"	""	"thrips"	""	""	""	"acariens : absents"	"Cas des pucerons :"	"241-265"	"type=RISQUE, form=Cas des thrips : absents"
"BSV_Horticulture_n_14_du_21_octobre_2011_cle036c85"	"P"	"RISQUE"	"Cas des pucerons : rarement présents"	""	"pucerons"	""	""	""	"es thrips : absents"	"Culture de PENSEES"	"266-302"	"type=RISQUE, form=Cas des pucerons : rarement présents"
"BSV_Horticulture_n_14_du_21_octobre_2011_cle036c85"	"H1
P"	"RISQUE"	"Culture de PENSEES : attention aux larves de sciarides
Les mouches de terreaux étant très polyphages, tout substrat maintenu humide, riche en matière organique, placé à des températures douces et abritant un jeune plant peut être la cible des sciarides. La présence de larves de sciaride à un niveau notable, seuil de tolérance dépassé, est signalée dans deux établissements horticoles. En ces périodes humides, une attention particulière doit être apportée aux séries de pensées empotées tardivement."	"pensée"	"larves,
mouches,
larves"	""	""	""	": rarement présents"	"Photo AREXHOR G.E."	"303-804"	"type=RISQUE, form=Culture de PENSEES : attention aux larves de sciarides
Les mouches de terreaux étant très polyphages, tout substrat maintenu humide, riche en matière organique, placé à des températures douces et abritant un jeune plant peut être la cible des sciarides. La présence de larves de sciaride à un niveau notable, seuil de tolérance dépassé, est signalée dans deux établissements horticoles. En ces périodes humides, une attention particulière doit être apportée aux séries de pensées empotées tardivement."
"BSV_Horticulture_n_14_du_21_octobre_2011_cle036c85"	"H2
H1
P"	"RISQUE"	"Photo AREXHOR G.E. Larve de sciaride
TARSONEMES SUR CYCLAMEN : à surveiller
Cet acarien minuscule se cache entre les feuilles au cœur des cyclamens. Invisible à l'œil nu, se sont les dégâts engendrés qui indiquent tardivement sa présence. En effet les symptômes se manifestent par un jaunissement, un enroulement et par une déformation ou une décoloration du feuillage. Actuellement la présence de cet acarien est signalée dans deux établissements. La vigilance est donc de rigueur."	""	"Larve,
acarien,
acarien"	""	""	""	"potées tardivement."	"PRODUCTIONS HORTIC"	"805-1287"	"type=RISQUE, form=Photo AREXHOR G.E. Larve de sciaride
TARSONEMES SUR CYCLAMEN : à surveiller
Cet acarien minuscule se cache entre les feuilles au cœur des cyclamens. Invisible à l'œil nu, se sont les dégâts engendrés qui indiquent tardivement sa présence. En effet les symptômes se manifestent par un jaunissement, un enroulement et par une déformation ou une décoloration du feuillage. Actuellement la présence de cet acarien est signalée dans deux établissements. La vigilance est donc de rigueur."
"BSV_Horticulture_n_14_du_21_octobre_2011_cle036c85"	"H2"	"RISQUE"	"Acariens Pucerons"	""	"Acariens,
Pucerons"	""	""	""	"te Niveau de risque"	"Chrysanthème Chrysa"	"1501-1518"	"type=RISQUE, form=Acariens Pucerons"
"BSV_Horticulture_n_14_du_21_octobre_2011_cle036c85"	"H2"	"CULTURE"	"Chrysanthème Chrysanthème"	"chrysanthème,
chrysanthème"	""	""	""	""	"e Acariens Pucerons"	"Légende Aucun risqu"	"1519-1544"	"type=CULTURE, form=Chrysanthème Chrysanthème"
"BSV_Horticulture_n_14_du_21_octobre_2011_cle036c85"	"H2"	"RISQUE"	"Thrips"	""	"Thrips"	""	""	""	"égende Aucun risque"	"Thrips Chrysanthème"	"1566-1572"	"type=RISQUE, form=Thrips"
"BSV_Horticulture_n_14_du_21_octobre_2011_cle036c85"	"H2"	"RISQUE"	"Thrips"	""	"Thrips"	""	""	""	"Aucun risque Thrips"	"Chrysanthème Cyclam"	"1573-1579"	"type=RISQUE, form=Thrips"
"BSV_Horticulture_n_14_du_21_octobre_2011_cle036c85"	"H2"	"CULTURE"	"Chrysanthème"	"chrysanthème"	""	""	""	""	"isque Thrips Thrips"	"Cyclamen Risque moy"	"1580-1592"	"type=CULTURE, form=Chrysanthème"
"BSV_Horticulture_n_14_du_21_octobre_2011_cle036c85"	"H2"	"RISQUE"	"Thrips"	""	"Thrips"	""	""	""	"Tarsonèmes Cyclamen"	"Cyclamen Sciarides"	"1684-1690"	"type=RISQUE, form=Thrips"
"BSV_Horticulture_n_14_du_21_octobre_2011_cle036c85"	"SMALL
P
SMALL
P"	"META"	"Action pilotée par le Ministère chargé de l'Agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018 ""
Avec la participation financière de :"	""	""	""	""	"2018"	"lletins techniques."	""	"2527-2812"	"type=META, form=Action pilotée par le Ministère chargé de l'Agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018 ""
Avec la participation financière de :"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"TITLE"	"TITLE"	"SOMMAIRE"	""	""	""	""	""	""	"SOMMAIRE Condition"	"1-9"	"type=TITLE, form=SOMMAIRE"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"H1"	"SOMMAIRE"	"SOMMAIRE"	""	""	""	""	""	"SOMMAIRE"	"Conditions climatiq"	"11-19"	"type=SOMMAIRE, form=SOMMAIRE"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"FIGCAPTION
FIGURE
SMALL
P
BR"	"METEO"	"Conditions climatiques Platane Pin Chêne Autres végétaux d'ornement Palmier Prévision météo Liens utiles
ANIMATEUR FILIERE : FREDON CorseRédacteur : Catherine GIGLEUX"	"pin,
chêne,
palmier"	""	""	""	""	"SOMMAIRE SOMMAIRE"	"Structures partenai"	"20-186"	"type=METEO, form=Conditions climatiques Platane Pin Chêne Autres végétaux d'ornement Palmier Prévision météo Liens utiles
ANIMATEUR FILIERE : FREDON CorseRédacteur : Catherine GIGLEUX"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"SMALL
P"	"META"	"Action pilotée par le Ministère chargé de l'agriculture, avec l'appui financier de l'Agence française pour la biodiversité et par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan ECOPHYTO"	""	""	""	""	""	"hoto : FREDON CORSE"	"BSV JEVI BULLETIN D"	"535-765"	"type=META, form=Action pilotée par le Ministère chargé de l'agriculture, avec l'appui financier de l'Agence française pour la biodiversité et par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan ECOPHYTO"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"H2"	"ZONE_GEO"	"CORSE"	""	""	""	"CORSE"	""	"DE SANTE DU VEGETAL"	"N°4 11 juillet 2019"	"804-809"	"type=ZONE_GEO, form=CORSE"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"H3"	"EDITION"	"N°4"	""	""	""	""	""	"TE DU VEGETAL CORSE"	"11 juillet 2019 A r"	"810-813"	"type=EDITION, form=N°4"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"H2
P
BR
BR
BR
BR
BR
BR
BR"	"SOMMAIRE"	"A retenir
Platane : l'oïdium domine les attaques des tigresBombyx disparate : vol important des papillons - les dégâts dus aux chenilles cessentPin : identification d'une cochenille sur pin en cours de rougissementPyrale du buis : fin du premier vol du papillonBerce du Caucase : alerte plante envahissante et dangereuse très allergisanteOrganismes nuisibles réglementés :Charançon rouge du palmier : nouvel arrêté de lutte obligatoire fin du premier pic de volCapricorne asiatique : Vigilance sur les feuillus en milieu urbain"	"pin,
palmier,
feuillu"	"Charançon"	""	""	""	"N°4 11 juillet 2019"	"CONDITIONS CLIMATIQ"	"830-1357"	"type=SOMMAIRE, form=A retenir
Platane : l'oïdium domine les attaques des tigresBombyx disparate : vol important des papillons - les dégâts dus aux chenilles cessentPin : identification d'une cochenille sur pin en cours de rougissementPyrale du buis : fin du premier vol du papillonBerce du Caucase : alerte plante envahissante et dangereuse très allergisanteOrganismes nuisibles réglementés :Charançon rouge du palmier : nouvel arrêté de lutte obligatoire fin du premier pic de volCapricorne asiatique : Vigilance sur les feuillus en milieu urbain"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"FOOTER
BR"	"EDITION"	"JEVI N°4 24 juillet 2019"	""	""	""	""	"24 juillet 2019"	"té du Végétal Corse"	"1 /11 PLATANE Tig"	"2502-2526"	"type=EDITION, form=JEVI N°4 24 juillet 2019"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"P
BR
FIGCAPTION
FIGURE
P
BR"	"STADES"	"Biologie : Le tigre du platane est installé sur la majorité des alignements d'arbres, en plaine comme en altitude. On peut attendre jusqu'à 3 générations d'adultes par an. Les larves passeront par 5 stades larvaires.Observations : La seconde génération de larves est en cours de développement et la surface attaquée progresse.
Photo 1 : Présence de deux stades de larves et des adultes du tigre - Ajaccio -08-07-19
Evaluation du risque : Le risque en termes de population était plutôt faible d'après les comptages de l'hiver. De plus, il y a eu dilution suite à la forte pousse végétative.Gestion du risque : Les applications à base de produits de biocontrôle ont dû être positionnées."	""	"larves,
larves,
larves"	""	""	""	"Corythucha ciliata"	"Oïdium du platane"	"2579-3264"	"type=STADES, form=Biologie : Le tigre du platane est installé sur la majorité des alignements d'arbres, en plaine comme en altitude. On peut attendre jusqu'à 3 générations d'adultes par an. Les larves passeront par 5 stades larvaires.Observations : La seconde génération de larves est en cours de développement et la surface attaquée progresse.
Photo 1 : Présence de deux stades de larves et des adultes du tigre - Ajaccio -08-07-19
Evaluation du risque : Le risque en termes de population était plutôt faible d'après les comptages de l'hiver. De plus, il y a eu dilution suite à la forte pousse végétative.Gestion du risque : Les applications à base de produits de biocontrôle ont dû être positionnées."
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"H3
P
BR"	"RISQUE"	" Oïdium du platane Erysiphe platani
Biologie : Il se développe pendant les périodes chaudes associées à une humidité ambiante. Contrairement à d'autres champignons, les spores d'oïdium n'ont pas besoin de l'eau pour germer et infecter la plante. Les températures propices à son développement vont de 20 à 28°C.Observations : Le feutrage blanc sur des feuilles gaufrées est le signe de la présence de l'oïdium. Actuellement, les jeunes pousses sont très souvent atteintes."	"champignon"	"Oïdium,
champignons"	""	""	""	"être positionnées."	"Evaluation du risqu"	"3265-3736"	"type=RISQUE, form= Oïdium du platane Erysiphe platani
Biologie : Il se développe pendant les périodes chaudes associées à une humidité ambiante. Contrairement à d'autres champignons, les spores d'oïdium n'ont pas besoin de l'eau pour germer et infecter la plante. Les températures propices à son développement vont de 20 à 28°C.Observations : Le feutrage blanc sur des feuilles gaufrées est le signe de la présence de l'oïdium. Actuellement, les jeunes pousses sont très souvent atteintes."
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"H2"	"CULTURE"	"PIN"	"pin"	""	""	""	""	"io (8 juillet 2019)"	"Cochenille des aigu"	"4055-4058"	"type=CULTURE, form=PIN"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"H3"	"CULTURE"	"Cochenille des aiguilles du pin - Chionaspis pinifoliae"	"conifère"	""	""	""	""	"8 juillet 2019) PIN"	"L'identification ré"	"4059-4114"	"type=CULTURE, form=Cochenille des aiguilles du pin - Chionaspis pinifoliae"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"FOOTER
BR"	"EDITION"	"JEVI N°4 24 juillet 2019"	""	""	""	""	"24 juillet 2019"	"té du Végétal Corse"	"2 /11 Biologie : C"	"4514-4538"	"type=EDITION, form=JEVI N°4 24 juillet 2019"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"P
BR
FIGCAPTION
FIGURE
P"	"STADES"	"Biologie : Cette cochenille présente une à deux générations par an. La deuxième génération a lieu en juillet ou en août, lorsque les températures du printemps et du début d'été sont plus élevées que la normale. L'insecte passe l'hiver au stade d'œuf, protégé par la carapace de la femelle.Observations : La cochenille des aiguilles du pin cause des dommages en insérant son rostre dans l'aiguille pour en extraire la sève. La piqûre induit la formation d'une zone vert-jaunâtre autour de chaque perforation. Dans les cas graves, les taches jaunes se confondent, les aiguilles tombent prématurément et l'arbre revêt un aspect terne et maladif.
Photo 4 : identification de la cochenille des aiguilles du pin Clinique du végétal Orléans
Seuil indicateur de risque : Une infestation est jugée sérieuse lorsqu'on dénombre 20 écailles de cochenille et plus par aiguille d'épinette, et 50 écailles et plus par aiguille de pin. Les arbres subissant des infestations majeures à répétition sont moins vigoureux, ont une croissance annuelle réduite et sont plus vulnérables aux attaques de ravageurs secondaires ."	"conifère,
pin,
conifère,
conifère,
pin,
conifère,
conifère,
pin"	""	""	""	"juillet,
août"	"juillet 2019 2 /11"	"Photo 5 : Colonies"	"4546-5648"	"type=STADES, form=Biologie : Cette cochenille présente une à deux générations par an. La deuxième génération a lieu en juillet ou en août, lorsque les températures du printemps et du début d'été sont plus élevées que la normale. L'insecte passe l'hiver au stade d'œuf, protégé par la carapace de la femelle.Observations : La cochenille des aiguilles du pin cause des dommages en insérant son rostre dans l'aiguille pour en extraire la sève. La piqûre induit la formation d'une zone vert-jaunâtre autour de chaque perforation. Dans les cas graves, les taches jaunes se confondent, les aiguilles tombent prématurément et l'arbre revêt un aspect terne et maladif.
Photo 4 : identification de la cochenille des aiguilles du pin Clinique du végétal Orléans
Seuil indicateur de risque : Une infestation est jugée sérieuse lorsqu'on dénombre 20 écailles de cochenille et plus par aiguille d'épinette, et 50 écailles et plus par aiguille de pin. Les arbres subissant des infestations majeures à répétition sont moins vigoureux, ont une croissance annuelle réduite et sont plus vulnérables aux attaques de ravageurs secondaires ."
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"P
BR"	"RISQUE"	"Evaluation du risque : Le risque est moyen pour les secteurs concernés par ce type d'attaque. Les chaleurs extrêmes et la pluie seraient néfastes pour la survie des jeunes larves.Gestion du risque : Une surveillance peut être réalisée sur la seconde génération afin de prévoir un nettoyage des branches contaminées. Les coccinelles sont efficaces pour gérer ces populations de cochenilles, il faut donc préserver la diversité des plantes dans les sites contaminés."	""	"larves"	""	""	""	"rce internet Canada"	"CHENE Bombyx dispa"	"5705-6169"	"type=RISQUE, form=Evaluation du risque : Le risque est moyen pour les secteurs concernés par ce type d'attaque. Les chaleurs extrêmes et la pluie seraient néfastes pour la survie des jeunes larves.Gestion du risque : Une surveillance peut être réalisée sur la seconde génération afin de prévoir un nettoyage des branches contaminées. Les coccinelles sont efficaces pour gérer ces populations de cochenilles, il faut donc préserver la diversité des plantes dans les sites contaminés."
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"H2"	"CULTURE"	"CHENE"	"chêne"	""	""	""	""	"s sites contaminés."	"Bombyx disparate L"	"6170-6175"	"type=CULTURE, form=CHENE"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"P
BR
FIGCAPTION
FIGURE
P"	"STADES"	"Biologie : Après avoir consommé les feuilles pendant 2 à 3 mois, les chenilles sont passées par 5 stades larvaires pour assurer leur diapause fin juin. La nymphose ne dure que 15 jours puis les premiers papillons apparaissent. La femelle, papillon de couleur blanche, pond sur les troncs, en général sur chênes, entre 100 et 800 œufs regroupés en amas spongieux de couleur jaune pâle.Observation : Les premiers papillons ont été capturés mi-juin à Figari et Pianottoli. Le vol s'est nettement intensifié début juillet avec plus du double des captures réalisées par rapport à 2018 sur ces mêmes sites. On observe que le piège funnel (bocal transparent à gauche) permet de capturer nettement plus que le piège jaune delta depuis le début du pic de vol.
Photo 6 : Mâle et femelle du bombyx
Une présence remarquée des chenilles sur de la vigne, à Figari en 2018, dans la vallée de l'Ortolo en 2019, montre que selon la configuration des végétaux et la présence plus ou moins importante des chênes, le"	"chêne,
vigne,
chêne"	""	""	""	"juin,
mi-juin,
juillet,
2018,
2018,
2019"	"te Lymantria dispar"	"Bulletin de Santé d"	"6211-7207"	"type=STADES, form=Biologie : Après avoir consommé les feuilles pendant 2 à 3 mois, les chenilles sont passées par 5 stades larvaires pour assurer leur diapause fin juin. La nymphose ne dure que 15 jours puis les premiers papillons apparaissent. La femelle, papillon de couleur blanche, pond sur les troncs, en général sur chênes, entre 100 et 800 œufs regroupés en amas spongieux de couleur jaune pâle.Observation : Les premiers papillons ont été capturés mi-juin à Figari et Pianottoli. Le vol s'est nettement intensifié début juillet avec plus du double des captures réalisées par rapport à 2018 sur ces mêmes sites. On observe que le piège funnel (bocal transparent à gauche) permet de capturer nettement plus que le piège jaune delta depuis le début du pic de vol.
Photo 6 : Mâle et femelle du bombyx
Une présence remarquée des chenilles sur de la vigne, à Figari en 2018, dans la vallée de l'Ortolo en 2019, montre que selon la configuration des végétaux et la présence plus ou moins importante des chênes, le"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"FOOTER
BR"	"EDITION"	"JEVI N°4 24 juillet 2019"	""	""	""	""	"24 juillet 2019"	"té du Végétal Corse"	"3 /11 bombyx peut"	"7243-7267"	"type=EDITION, form=JEVI N°4 24 juillet 2019"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"H4"	"ZONE_GEO"	"Piégeage du bombyx disparate -Piège Funnel Trap Corse du sud -2019"	""	""	""	"Corse"	""	"2016-2017 en Corse."	"350 300 250 les che"	"8166-8232"	"type=ZONE_GEO, form=Piégeage du bombyx disparate -Piège Funnel Trap Corse du sud -2019"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"P"	"RISQUE"	"Gestion du risque : Les oiseaux sont actuellement les principaux prédateurs efficaces. Hormis le piégeage massif, il n'y a pas d'intervention possible au stade actuel de ce ravageur."	""	"oiseaux"	""	""	""	"sur 2 sites en 2019"	"AUTRES VÉGÉTAUX D'O"	"8502-8684"	"type=RISQUE, form=Gestion du risque : Les oiseaux sont actuellement les principaux prédateurs efficaces. Hormis le piégeage massif, il n'y a pas d'intervention possible au stade actuel de ce ravageur."
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"P
BR
FIGCAPTION
FIGURE
P"	"STADES"	"La pyrale du buis (Lepidoptera, Crambidae) est un papillon nocturne originaire d'Asie orientale, observé pour la première fois en Europe en 2006, et en Corse en 2014. Elle fait de graves dégâts sur les buis en pépinière, en espace vert comme en forêt.Biologie : Les chenilles ont hiverné entre deux feuilles du buis et ont repris leur activité courant mars. Entre les stades larvaire et nymphal, chaque chenille détruit environ 45 feuilles de buis. Après 4 semaines d'activité, elles tissent leur cocon et vont y rester 3 semaines, avant d'en ressortir métamorphosées sous forme de papillon.
Photo 7 : reprise de pousse de buis suite à une attaque de la pyrale en 2018 février 2019
Observation : Les chenilles ont été très actives entre mi-mai et mi-juin. Elles ont pu défeuiller un buisson en quelques semaines comme on peut le voir ci-contre."	"horticulture ornementale,
zone non agricole,
sylviculture"	"pyrale,
pyrale"	""	"Corse"	"2006,
2014,
mars,
2018,
février 2019,
mi-mai,
mi-juin"	"dalima perspectalis"	"Photo 8 : seconde a"	"8751-9595"	"type=STADES, form=La pyrale du buis (Lepidoptera, Crambidae) est un papillon nocturne originaire d'Asie orientale, observé pour la première fois en Europe en 2006, et en Corse en 2014. Elle fait de graves dégâts sur les buis en pépinière, en espace vert comme en forêt.Biologie : Les chenilles ont hiverné entre deux feuilles du buis et ont repris leur activité courant mars. Entre les stades larvaire et nymphal, chaque chenille détruit environ 45 feuilles de buis. Après 4 semaines d'activité, elles tissent leur cocon et vont y rester 3 semaines, avant d'en ressortir métamorphosées sous forme de papillon.
Photo 7 : reprise de pousse de buis suite à une attaque de la pyrale en 2018 février 2019
Observation : Les chenilles ont été très actives entre mi-mai et mi-juin. Elles ont pu défeuiller un buisson en quelques semaines comme on peut le voir ci-contre."
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"FOOTER
BR"	"EDITION"	"JEVI N°4 24 juillet 2019"	""	""	""	""	"24 juillet 2019"	"té du Végétal Corse"	"4 /11 Mi-juillet,"	"9702-9726"	"type=EDITION, form=JEVI N°4 24 juillet 2019"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"FIGCAPTION
FIGURE"	"RISQUE"	"Photo 9 : Papillon de la pyrale du buis à San Giuliano juillet 2019 - forme claire avec bordure brune (à droite) et forme brune moins courante (à gauche)"	""	"pyrale"	""	""	"juillet 2019 - forme"	"12 juin à Ajaccio."	"Le graphique ci-des"	"10099-10252"	"type=RISQUE, form=Photo 9 : Papillon de la pyrale du buis à San Giuliano juillet 2019 - forme claire avec bordure brune (à droite) et forme brune moins courante (à gauche)"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"P
H4"	"RISQUE"	"Le graphique ci-dessous décrit le premier vol de cette pyrale pour 2019 pour ces 3 sites. L'environnement du site de San Giuliano est très riche en buis avec près d'une centaine de plants, alors que dans les 2 autres sites, il y a seulement 1 à 3 buis.
Suivi du vol de la Pyrale du Buis -2019"	""	"pyrale,
Pyrale"	""	""	"2019"	"courante (à gauche)"	"cumul de papillons"	"10253-10545"	"type=RISQUE, form=Le graphique ci-dessous décrit le premier vol de cette pyrale pour 2019 pour ces 3 sites. L'environnement du site de San Giuliano est très riche en buis avec près d'une centaine de plants, alors que dans les 2 autres sites, il y a seulement 1 à 3 buis.
Suivi du vol de la Pyrale du Buis -2019"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"FIGCAPTION
FIGURE
P
BR"	"RISQUE"	"Figure 2 : Réseau de piégeage de la pyrale du buis en Corse financement ALIEM /OEC 2019
Evaluation du risque : On assiste au début de la seconde génération ; le risque est à nouveau élevé en présence de dégâts constatés sur la première génération.Gestion du risque : Sur de simple buis, il est possible d'enlever les jeunes chenilles à la main. Si une intervention dirigée sur la pyrale à l'aide d'un produit de biocontrôle est possible, il faut attendre 2 semaines après la première capture."	""	"pyrale,
pyrale"	""	"Corse"	"2019"	"Ile rousse Ajaccio"	"Le puceron de l'Al"	"10694-11186"	"type=RISQUE, form=Figure 2 : Réseau de piégeage de la pyrale du buis en Corse financement ALIEM /OEC 2019
Evaluation du risque : On assiste au début de la seconde génération ; le risque est à nouveau élevé en présence de dégâts constatés sur la première génération.Gestion du risque : Sur de simple buis, il est possible d'enlever les jeunes chenilles à la main. Si une intervention dirigée sur la pyrale à l'aide d'un produit de biocontrôle est possible, il faut attendre 2 semaines après la première capture."
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"H3"	"EDITION"	" Le puceron de l'Aloe - Aloephagus myersi Essig, 1950"	""	"puceron"	""	""	"1950"	"a première capture."	"Un nouveau puceron"	"11187-11240"	"type=EDITION, form= Le puceron de l'Aloe - Aloephagus myersi Essig, 1950"
"BSV_JEVI_4_24_juillet_2019_cle4fa1b8"	"P"	"RISQUE"	"Un nouveau puceron spécifique de l'Aloe a été identifié par l'ANSES sur un site à Sainte Lucie de Porto Vecchio. Il appartient à la famille des Aphididae, sous famille des Eriosomatinae, tribu des Fordini."	""	"puceron"	""	""	""	"myersi Essig, 1950"	"Ce puceron a été re"	"11241-11446"	"type=RISQUE, form=Un nouveau puceron spécifique de l'Aloe a été identifié par l'ANSES sur un site à Sainte Lucie de Porto Vecchio. Il appartient à la famille des Aphididae, sous famille des Eriosomatinae, tribu des Fordini."
